Year,Deaths: Asthma (OR),Deaths: Chronic obstructive pulmonary disease (OR),Deaths: Chronic respiratory diseases (OR),Incidence: Asthma (OR),Incidence: Chronic obstructive pulmonary disease (OR),Incidence: Chronic respiratory diseases (OR),Prevalence: Asthma (OR),Prevalence: Chronic obstructive pulmonary disease (OR),Prevalence: Chronic respiratory diseases (OR),Asthma: Age-Adjusted HR (DC),Asthma: Crude HR (DC),Asthma: Crude HR Ages 0-4 (DC),Asthma: Crude HR Ages 5-14 (DC),Asthma: Crude HR Ages 15-34 (DC),Asthma: Crude HR Ages 35-64 (DC),Asthma: Crude HR Ages 65+ (DC),Asthma: Total Hospitalizations (DC),COPD: Age-Adjusted HR (DC),COPD: Crude HR (DC),COPD: Crude HR Ages 25-44 (DC),COPD: Crude HR Ages 45-64 (DC),COPD: Crude HR Ages 65-84 (DC),PDR Age-Adjusted (DC)
1990,0.2607990537181869,4.352008186181163,5.066918386093233,127.11937243575535,29.4315954094652,222.73868594315763,982.0167664625917,475.0813230592892,1329.252444036701,,,,,,,,,,,,,,
1991,0.2581529458457324,4.40606318053217,5.126561802717181,117.75008857595397,29.793294475340122,208.50236028739192,899.3410408819336,481.4461873208097,1264.8450251493864,,,,,,,,,,,,,,
1992,0.26147426188505973,4.547596905492751,5.286947539143137,109.42037752921445,30.183304108232402,195.87584232105007,825.9513282178556,487.3336202492267,1207.3569097783961,,,,,,,,,,,,,,
1993,0.26871767181775547,4.840283565336504,5.610785299575231,102.43364909095779,30.550105982417996,185.43595521304664,765.2344776767077,492.1504951031734,1160.0790644079177,,,,,,,,,,,,,,
1994,0.27020740772033436,4.907768160144014,5.690183259877024,97.12449774781165,30.839319561127496,177.79104166515756,720.5844322119946,495.24233864603167,1125.107384197945,,,,,,,,,,,,,,
1995,0.26992614273616744,4.994573662844393,5.7895071879654765,93.88548602157393,31.160244917751907,173.9288160787936,695.7503772787285,498.28899674491487,1106.9477218620368,,,,,,,,,,,,,,
1996,0.2671867644343732,5.178849172869372,5.991149987140437,92.30367037173076,31.4898025303276,172.9171823567362,686.964532634152,500.8323638959961,1102.9153482852212,,,,,,,,,,,,,,
1997,0.25975228704473313,5.189438381990043,5.999809260871862,91.47808501277254,31.878434584297764,173.21873662622755,686.2654915640485,504.30004710127133,1107.478829966254,,,,,,,,,,,,,,
1998,0.2537070569906932,5.340766530831091,6.169440921970343,91.18731996897468,32.29873952515162,174.32054632208752,690.2359205386628,507.8217501788857,1115.8984830558638,,,,,,,,,,,,,,
1999,0.23390985862004138,5.398486190668306,6.221110871106122,91.15319330999567,32.649703382361835,175.53514213064457,695.436992327984,509.77358839078613,1123.5526120096238,,,,,,,,,,,,,,31.21
2000,0.21811893174159058,5.409509470566567,6.239495371321055,91.1115496122178,32.976071592739956,176.4920713842419,698.8395126515171,511.25253506515617,1128.4559482064492,8.0,6.9,24.3,6.7,3.7,4.8,11.5,92.0,13.0,13.0,0.9,12.1,67.6,31.22
2001,0.21587880395848277,5.577490069402255,6.437417065032136,91.08716877626877,33.166646427234625,176.72964189040852,700.5918565651525,509.8250386473345,1128.4449149416603,5.5,7.0,19.6,5.4,3.6,6.4,11.1,66.0,12.7,13.0,1.0,13.3,68.5,32.95
2002,0.21190701782336455,5.697190520888066,6.571972073094389,91.1319604811136,33.25859751029656,176.54712073651896,703.0981550784693,506.60683188237925,1127.216116064295,6.5,7.5,24.9,5.9,3.7,5.8,14.0,79.0,10.8,11.0,0.7,13.0,73.3,31.48
2003,0.2004507029183007,5.6708660214692035,6.547378982906911,91.27336044542548,33.38192428008328,176.4208470285675,706.6752306291708,503.38420396201684,1126.7775340935082,4.8,6.7,25.3,5.6,3.3,5.0,11.4,62.0,8.4,8.7,0.8,13.1,66.0,29.619999999999997
2004,0.18985770749803493,5.584035469161226,6.45694732383496,91.60152678159892,33.529600808751965,176.75934964574623,711.766567060088,501.1448424828892,1128.418383124957,3.8,6.4,22.6,5.3,2.8,5.2,10.6,49.0,7.4,7.8,0.5,11.9,54.6,26.25
2005,0.18437395280826824,5.585814402861777,6.469442960799812,92.09370892618213,33.8046886209403,178.12911460837628,718.8548896105439,503.2103414058398,1136.0948574033448,5.5,6.7,16.8,5.5,2.8,5.7,14.2,77.0,10.2,10.5,0.7,13.4,61.3,28.1
2006,0.1868689605541453,5.700095055782385,6.6057828490593,94.00384661741008,34.13857074643448,185.0413939875268,737.4650908436837,507.3651529790921,1155.4141240868864,4.0,5.8,13.0,4.7,2.1,5.8,10.6,61.0,9.7,10.1,0.8,9.9,51.3,27.78
2007,0.18221333588666164,5.803740011222557,6.727925947246909,97.87248741423524,34.71209142911289,199.3716149472201,771.397912989879,512.8675267369538,1189.0257190028626,4.6,5.9,13.4,4.2,2.7,5.9,10.2,73.0,8.2,8.8,0.7,11.3,46.2,25.869999999999997
2008,0.1760440084486375,5.8239854367809984,6.7493438113371385,102.58417219722344,35.36681381227984,216.68890809878926,811.721497621246,519.6471924645091,1229.1787983318704,4.5,6.2,13.8,5.6,3.0,5.3,11.9,76.0,11.4,12.3,0.7,13.4,57.1,28.110000000000003
2009,0.17429168286481797,5.872099294865263,6.812562306885073,106.92959631760228,36.00351290664241,232.31714641396312,848.8303956844593,526.2434901994745,1266.090754367374,6.2,6.3,16.1,5.3,3.4,5.9,9.2,100.0,14.8,16.1,1.1,13.0,56.1,25.8
2010,0.16734281523721,5.850640313137541,6.785131121578876,109.7447003755075,36.68630064976938,241.8965519457801,873.3297863474656,533.9852853255535,1292.962004488682,5.9,6.4,18.6,6.2,2.7,5.8,9.9,96.0,13.0,14.6,0.5,14.3,57.1,28.25
2011,0.16699893812366123,5.953107208257772,6.911530512654089,111.48761873280345,37.26704049478509,246.40441627506848,887.4912719544075,540.6846996283941,1309.881365219417,4.9,5.3,18.6,4.9,2.2,4.6,8.0,76.0,14.5,16.8,0.9,15.3,60.1,25.9
2012,0.16634727239101998,5.956575118393187,6.923955508149237,113.30211281137845,37.92567682188812,250.8171543787527,900.57822072829,548.3986055978125,1327.0071029127707,4.3,4.8,15.3,5.7,3.0,4.3,5.0,70.0,11.8,14.6,0.4,15.8,47.8,26.82
2013,0.1679391706902957,6.051162916231619,7.041485712563386,114.93250944120848,38.54061975662178,254.97336754430958,911.9360392134843,556.0664005100208,1342.5205623880174,4.0,4.8,10.7,5.5,2.0,4.7,6.8,68.0,10.6,13.0,0.6,13.1,42.5,24.64
2014,0.17460413093824645,6.1804881734389685,7.203027673775464,116.05295633992382,39.05991949908261,258.5480907095214,920.5644039203838,562.122132317753,1354.4170807401429,3.2,4.5,14.7,4.9,1.8,4.4,5.2,49.0,9.7,12.1,0.8,14.1,35.5,25.34
2015,0.17299560045392445,6.298157853291463,7.33120008033911,116.37057331206935,39.56122489164308,261.76113203003786,926.2486472472863,568.3367636173448,1364.526582383185,4.4,3.6,8.8,4.3,2.0,3.1,4.8,74.0,11.1,14.1,0.7,15.0,37.9,25.830000000000002
2016,0.1692650967519677,6.260410829168677,7.290566321852554,113.77367898593361,39.45095799327713,263.7100026040581,927.8521316803456,566.1667751056943,1364.9365711757423,3.8,2.9,8.8,4.9,1.6,2.6,2.6,58.0,7.7,10.0,0.4,15.3,40.3,23.81
2017,0.16841757753302938,6.2958821026294185,7.328708580238614,111.02541399350223,39.48033465022357,265.8693259398764,931.1889932745983,568.788657997921,1370.4463576739913,3.6,3.0,10.1,5.3,2.5,2.2,2.2,56.0,8.7,10.7,0.6,20.1,44.8,23.31
2018,0.1691711743789322,6.4761860938206555,7.541692441419597,111.72945953419055,40.205416832674004,266.6232385249925,947.6062485290468,582.7412190165934,1396.3142116851986,4.2,3.1,12.4,4.5,1.9,2.5,2.4,71.0,6.2,8.2,0.6,14.0,36.6,22.69
2019,0.171899816385125,6.722380303852697,7.814714920895358,114.62507394835268,40.9691453965772,263.89434712916136,976.8139095566348,596.789167354732,1433.1468893219178,3.9,2.7,9.9,6.7,1.5,2.0,1.5,62.0,7.4,9.3,0.5,14.3,33.5,22.91
2020,,,,,,,,,,1.3,1.5,4.5,1.5,1.2,1.8,0.8,24.0,3.7,4.6,0.3,10.0,22.6,24.19
2021,,,,,,,,,,1.4,1.5,9.2,2.1,1.4,1.0,0.4,23.0,2.6,3.3,0.5,7.4,16.6,
